index,dominant color,file name,timestamp
0,"['darkslategrey', 'linen', 'darkgrey', 'darkslategrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,01
1,"['whitesmoke', 'darkgrey', 'darkslategrey', 'darkslategrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,02
2,"['whitesmoke', 'darkslategrey', 'black', 'grey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,03
3,"['darkslategrey', 'dimgrey', 'black', 'lightgrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,04
4,"['darkslategrey', 'gainsboro', 'dimgrey', 'silver', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,05
5,"['darkgrey', 'gainsboro', 'lightgrey', 'darkslategrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,06
6,"['dimgrey', 'lightgrey', 'grey', 'darkolivegreen', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,07
7,"['darkslategrey', 'darkgrey', 'black', 'dimgrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,08
8,"['darkslategrey', 'grey', 'darkgrey', 'dimgrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,09
9,"['darkgrey', 'gainsboro', 'lightgrey', 'dimgrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,10
10,"['darkgrey', 'lavender', 'lightgrey', 'dimgrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,11
11,"['darkslategrey', 'gainsboro', 'dimgrey', 'rosybrown', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,12
12,"['darkslategrey', 'dimgrey', 'gainsboro', 'darkgrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,13
13,"['silver', 'darkslategrey', 'black', 'dimgrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,14
14,"['darkslategrey', 'lavender', 'black', 'black', 'grey']",bs-apr10-bolder-2016-05-09-23-13-21-884,15
15,"['darkslategrey', 'lavender', 'black', 'grey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,16
16,"['grey', 'darkslategrey', 'black', 'darkslategrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,17
17,"['black', 'grey', 'lightgrey', 'darkslategrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,18
18,"['black', 'lightgrey', 'grey', 'darkslategrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,19
19,"['dimgrey', 'darkslategrey', 'black', 'black', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,20
20,"['darkslategrey', 'darkgrey', 'dimgrey', 'black', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,21
21,"['grey', 'whitesmoke', 'gainsboro', 'darkolivegreen', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,22
22,"['darkslategrey', 'grey', 'black', 'black', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,23
23,"['darkslategrey', 'dimgrey', 'black', 'black', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,24
24,"['darkslategrey', 'grey', 'black', 'black', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,25
25,"['dimgrey', 'black', 'black', 'black', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,26
26,"['darkslategrey', 'dimgrey', 'black', 'black', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,27
27,"['darkslategrey', 'darkslategrey', 'black', 'black', 'grey']",bs-apr10-bolder-2016-05-09-23-13-21-884,28
28,"['black', 'black', 'black', 'black', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,29
29,"['darkslategrey', 'black', 'dimgrey', 'rosybrown', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,30
30,"['darkslategrey', 'black', 'rosybrown', 'dimgrey', 'black']",bs-apr10-bolder-2016-05-09-23-13-21-884,31
31,"['black', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,01
32,"['gainsboro', 'darkgrey', 'gainsboro', 'dimgrey', 'lightgrey']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,02
33,"['whitesmoke', 'gainsboro', 'black', 'darkgrey', 'silver']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,03
34,"['whitesmoke', 'gainsboro', 'black', 'silver', 'grey']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,04
35,"['silver', 'dimgrey', 'lavender', 'gainsboro', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,05
36,"['darkgrey', 'lavender', 'lightgrey', 'darkslategrey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,06
37,"['darkgrey', 'lavender', 'lightgrey', 'darkslategrey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,07
38,"['silver', 'darkgrey', 'darkslategrey', 'lightgrey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,08
39,"['whitesmoke', 'darkslategrey', 'linen', 'darkgrey', 'lightgrey']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,09
40,"['silver', 'slategrey', 'whitesmoke', 'darkslategrey', 'gainsboro']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,10
41,"['darkgrey', 'whitesmoke', 'slategrey', 'darkslategrey', 'gainsboro']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,11
42,"['darkslategrey', 'darkgrey', 'whitesmoke', 'lightgrey', 'grey']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,12
43,"['whitesmoke', 'gainsboro', 'darkslateblue', 'grey', 'silver']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,13
44,"['darkgrey', 'darkslategrey', 'dimgrey', 'lightgrey', 'grey']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,14
45,"['grey', 'darkslategrey', 'black', 'black', 'silver']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,15
46,"['darkslategrey', 'darkgrey', 'black', 'black', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,16
47,"['silver', 'darkslategrey', 'black', 'black', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,17
48,"['thistle', 'darkslategrey', 'grey', 'silver', 'darkgrey']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,18
49,"['darkslategrey', 'black', 'black', 'grey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,19
50,"['darkslategrey', 'black', 'black', 'grey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,20
51,"['darkslategrey', 'black', 'grey', 'black', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,21
52,"['darkslategrey', 'gainsboro', 'lightslategrey', 'darkslategrey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,22
53,"['darkslategrey', 'gainsboro', 'darkgrey', 'dimgrey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,23
54,"['darkslategrey', 'darkslategrey', 'darkgrey', 'dimgrey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,24
55,"['white', 'floralwhite', 'thistle', 'linen', 'gainsboro']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,25
56,"['darkslategrey', 'dimgrey', 'gainsboro', 'lightslategrey', 'darkslategrey']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,26
57,"['darkslategrey', 'dimgrey', 'black', 'black', 'silver']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,27
58,"['black', 'black', 'lightslategrey', 'black', 'darkslategrey']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,28
59,"['grey', 'darkslategrey', 'darkslategrey', 'lightgrey', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,29
60,"['grey', 'darkslategrey', 'darkslategrey', 'gainsboro', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,30
61,"['grey', 'darkslategrey', 'darkslategrey', 'gainsboro', 'black']",bs-apr11-no-fracking-anywhere-2016-05-09-23-13-17-135,31
62,"['black', 'black']",bs-apr14-art-of-the-steal-2016-05-09-23-13-12-208,01
63,"['grey', 'darkslategrey', 'darkslategrey', 'black', 'black']",bs-apr14-art-of-the-steal-2016-05-09-23-13-12-208,02
64,"['darkslategrey', 'darkslategrey', 'black', 'rosybrown', 'black']",bs-apr14-art-of-the-steal-2016-05-09-23-13-12-208,03
